cluster,subcluster,cell
0,0,0
0,0,1
6,0,2
1,0,3
1,0,4
0,0,5
1,0,6
1,0,7
6,0,8
1,0,9
3,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
4,0,16
0,0,17
0,0,18
0,0,19
0,0,20
6,0,21
5,0,22
0,0,23
1,0,24
6,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
1,0,32
6,0,33
0,0,34
0,0,35
0,0,36
1,0,37
0,0,38
5,0,39
0,0,40
0,0,41
0,0,42
0,0,43
4,0,44
0,0,45
0,0,46
6,0,47
0,0,48
4,0,49
1,0,50
0,0,51
1,0,52
3,0,53
6,0,54
0,0,55
0,0,56
0,0,57
5,0,58
0,0,59
0,0,60
0,0,61
0,0,62
5,0,63
0,0,64
5,0,65
0,0,66
0,0,67
6,0,68
5,0,69
0,0,70
0,0,71
0,0,72
0,0,73
1,0,74
6,0,75
6,0,76
0,0,77
0,0,78
4,0,79
1,0,80
0,0,81
0,0,82
5,0,83
6,0,84
6,0,85
2,0,86
0,0,87
1,0,88
5,0,89
0,0,90
0,0,91
0,0,92
1,0,93
2,0,94
1,0,95
0,0,96
0,0,97
0,0,98
0,0,99
0,0,100
0,0,101
4,0,102
0,0,103
6,0,104
1,0,105
0,0,106
0,0,107
6,0,108
0,0,109
0,0,110
0,0,111
0,0,112
1,0,113
5,0,114
0,0,115
0,0,116
0,0,117
2,0,118
0,0,119
0,0,120
0,0,121
0,0,122
0,0,123
1,0,124
0,0,125
6,0,126
0,0,127
1,0,128
0,0,129
0,0,130
6,0,131
4,0,132
5,0,133
6,0,134
0,0,135
0,0,136
0,0,137
0,0,138
0,0,139
4,0,140
0,0,141
6,0,142
4,0,143
0,0,144
0,0,145
0,0,146
1,0,147
0,0,148
0,0,149
0,0,150
6,0,151
1,0,152
0,0,153
4,0,154
0,0,155
0,0,156
0,0,157
6,0,158
1,0,159
0,0,160
6,0,161
6,0,162
0,0,163
5,0,164
5,0,165
0,0,166
0,0,167
0,0,168
5,0,169
0,0,170
6,0,171
0,0,172
0,0,173
6,0,174
0,0,175
0,0,176
6,0,177
0,0,178
1,0,179
1,0,180
0,0,181
0,0,182
0,0,183
5,0,184
0,0,185
3,0,186
0,0,187
1,0,188
4,0,189
0,0,190
0,0,191
4,0,192
0,0,193
0,0,194
1,0,195
0,0,196
1,0,197
1,0,198
0,0,199
1,0,200
1,0,201
0,0,202
0,0,203
0,0,204
0,0,205
0,0,206
1,0,207
6,0,208
0,0,209
1,0,210
0,0,211
0,0,212
0,0,213
0,0,214
0,0,215
6,0,216
0,0,217
0,0,218
5,0,219
1,0,220
0,0,221
1,0,222
0,0,223
0,0,224
0,0,225
1,0,226
2,0,227
6,0,228
0,0,229
0,0,230
0,0,231
0,0,232
0,0,233
0,0,234
0,0,235
0,0,236
0,0,237
0,0,238
0,0,239
0,0,240
0,0,241
0,0,242
0,0,243
0,0,244
2,0,245
6,0,246
0,0,247
0,0,248
5,0,249
0,0,250
0,0,251
0,0,252
0,0,253
0,0,254
0,0,255
0,0,256
0,0,257
5,0,258
0,0,259
1,0,260
0,0,261
0,0,262
0,0,263
0,0,264
0,0,265
4,0,266
1,0,267
0,0,268
0,0,269
2,0,270
0,0,271
0,0,272
0,0,273
0,0,274
0,0,275
6,0,276
0,0,277
1,0,278
0,0,279
0,0,280
0,0,281
0,0,282
0,0,283
3,0,284
0,0,285
0,0,286
0,0,287
0,0,288
1,0,289
0,0,290
4,0,291
0,0,292
0,0,293
0,0,294
5,0,295
0,0,296
0,0,297
6,0,298
5,0,299
1,0,300
6,0,301
0,0,302
6,0,303
5,0,304
5,0,305
0,0,306
0,0,307
0,0,308
1,0,309
0,0,310
6,0,311
0,0,312
0,0,313
6,0,314
0,0,315
0,0,316
5,0,317
0,0,318
0,0,319
0,0,320
1,0,321
0,0,322
1,0,323
0,0,324
6,0,325
0,0,326
6,0,327
0,0,328
0,0,329
0,0,330
5,0,331
0,0,332
0,0,333
0,0,334
0,0,335
1,0,336
0,0,337
0,0,338
5,0,339
0,0,340
0,0,341
0,0,342
0,0,343
0,0,344
0,0,345
0,0,346
6,0,347
5,0,348
0,0,349
3,0,350
0,0,351
0,0,352
0,0,353
1,0,354
0,0,355
0,0,356
0,0,357
1,0,358
0,0,359
1,0,360
6,0,361
6,0,362
0,0,363
0,0,364
1,0,365
2,0,366
0,0,367
6,0,368
0,0,369
0,0,370
0,0,371
1,0,372
0,0,373
0,0,374
0,0,375
5,0,376
0,0,377
0,0,378
0,0,379
0,0,380
1,0,381
0,0,382
0,0,383
0,0,384
0,0,385
1,0,386
0,0,387
0,0,388
0,0,389
0,0,390
0,0,391
0,0,392
0,0,393
5,0,394
0,0,395
0,0,396
0,0,397
0,0,398
0,0,399
0,0,400
0,0,401
0,0,402
0,0,403
0,0,404
1,0,405
5,0,406
0,0,407
0,0,408
3,0,409
1,0,410
0,0,411
0,0,412
0,0,413
0,0,414
1,0,415
0,0,416
6,0,417
1,0,418
0,0,419
0,0,420
2,0,421
0,0,422
5,0,423
0,0,424
0,0,425
0,0,426
2,0,427
0,0,428
0,0,429
0,0,430
6,0,431
0,0,432
0,0,433
1,0,434
0,0,435
1,0,436
0,0,437
0,0,438
0,0,439
0,0,440
0,0,441
0,0,442
0,0,443
5,0,444
0,0,445
0,0,446
6,0,447
0,0,448
0,0,449
0,0,450
0,0,451
1,0,452
6,0,453
0,0,454
0,0,455
0,0,456
1,0,457
0,0,458
1,0,459
0,0,460
5,0,461
1,0,462
0,0,463
3,0,464
0,0,465
0,0,466
6,0,467
5,0,468
1,0,469
1,0,470
0,0,471
0,0,472
0,0,473
4,0,474
0,0,475
0,0,476
0,0,477
6,0,478
0,0,479
0,0,480
6,0,481
4,0,482
1,0,483
0,0,484
6,0,485
0,0,486
0,0,487
1,0,488
0,0,489
0,0,490
1,0,491
1,0,492
6,0,493
0,0,494
1,0,495
6,0,496
0,0,497
6,0,498
0,0,499
0,0,500
0,0,501
0,0,502
6,0,503
0,0,504
1,0,505
1,0,506
0,0,507
0,0,508
0,0,509
0,0,510
0,0,511
0,0,512
0,0,513
0,0,514
0,0,515
5,0,516
6,0,517
0,0,518
0,0,519
1,0,520
6,0,521
0,0,522
6,0,523
0,0,524
0,0,525
0,0,526
6,0,527
0,0,528
0,0,529
0,0,530
2,0,531
0,0,532
0,0,533
0,0,534
0,0,535
5,0,536
6,0,537
1,0,538
0,0,539
0,0,540
0,0,541
0,0,542
5,0,543
0,0,544
0,0,545
0,0,546
0,0,547
0,0,548
0,0,549
5,0,550
0,0,551
0,0,552
0,0,553
1,0,554
0,0,555
5,0,556
4,0,557
0,0,558
4,0,559
0,0,560
1,0,561
0,0,562
0,0,563
4,0,564
0,0,565
0,0,566
5,0,567
0,0,568
6,0,569
0,0,570
0,0,571
6,0,572
0,0,573
0,0,574
0,0,575
6,0,576
0,0,577
0,0,578
0,0,579
0,0,580
0,0,581
0,0,582
0,0,583
1,0,584
4,0,585
0,0,586
0,0,587
0,0,588
0,0,589
0,0,590
0,0,591
1,0,592
1,0,593
0,0,594
6,0,595
0,0,596
6,0,597
5,0,598
5,0,599
6,0,600
0,0,601
0,0,602
6,0,603
0,0,604
6,0,605
1,0,606
1,0,607
4,0,608
0,0,609
0,0,610
6,0,611
0,0,612
0,0,613
0,0,614
2,0,615
1,0,616
0,0,617
1,0,618
0,0,619
0,0,620
0,0,621
0,0,622
5,0,623
0,0,624
1,0,625
0,0,626
1,0,627
0,0,628
0,0,629
0,0,630
0,0,631
0,0,632
1,0,633
0,0,634
0,0,635
0,0,636
5,0,637
1,0,638
0,0,639
6,0,640
0,0,641
0,0,642
0,0,643
0,0,644
5,0,645
0,0,646
0,0,647
0,0,648
0,0,649
0,0,650
0,0,651
5,0,652
0,0,653
0,0,654
5,0,655
0,0,656
4,0,657
0,0,658
1,0,659
6,0,660
1,0,661
6,0,662
0,0,663
0,0,664
1,0,665
0,0,666
5,0,667
1,0,668
0,0,669
2,0,670
0,0,671
0,0,672
0,0,673
0,0,674
0,0,675
0,0,676
0,0,677
0,0,678
0,0,679
0,0,680
0,0,681
0,0,682
6,0,683
0,0,684
2,0,685
0,0,686
0,0,687
1,0,688
0,0,689
5,0,690
0,0,691
0,0,692
0,0,693
0,0,694
0,0,695
0,0,696
6,0,697
1,0,698
5,0,699
0,0,700
0,0,701
0,0,702
0,0,703
0,0,704
6,0,705
1,0,706
0,0,707
6,0,708
0,0,709
0,0,710
0,0,711
3,0,712
0,0,713
1,0,714
6,0,715
0,0,716
1,0,717
0,0,718
6,0,719
1,0,720
0,0,721
1,0,722
0,0,723
0,0,724
0,0,725
3,0,726
0,0,727
0,0,728
0,0,729
2,0,730
0,0,731
6,0,732
0,0,733
0,0,734
1,0,735
1,0,736
6,0,737
0,0,738
0,0,739
0,0,740
2,0,741
5,0,742
0,0,743
0,0,744
0,0,745
1,0,746
0,0,747
5,0,748
6,0,749
1,0,750
1,0,751
0,0,752
0,0,753
1,0,754
1,0,755
0,0,756
1,0,757
0,0,758
5,0,759
0,0,760
0,0,761
0,0,762
0,0,763
0,0,764
1,0,765
0,0,766
1,0,767
5,0,768
0,0,769
1,0,770
0,0,771
1,0,772
0,0,773
0,0,774
0,0,775
0,0,776
0,0,777
0,0,778
0,0,779
0,0,780
0,0,781
0,0,782
0,0,783
0,0,784
0,0,785
6,0,786
0,0,787
0,0,788
0,0,789
2,0,790
5,0,791
1,0,792
0,0,793
0,0,794
0,0,795
0,0,796
0,0,797
1,0,798
1,0,799
0,0,800
0,0,801
2,0,802
0,0,803
0,0,804
5,0,805
5,0,806
0,0,807
0,0,808
6,0,809
6,0,810
3,0,811
5,0,812
1,0,813
0,0,814
0,0,815
0,0,816
0,0,817
6,0,818
6,0,819
4,0,820
0,0,821
0,0,822
0,0,823
0,0,824
0,0,825
0,0,826
5,0,827
0,0,828
0,0,829
1,0,830
0,0,831
0,0,832
0,0,833
0,0,834
0,0,835
6,0,836
5,0,837
0,0,838
0,0,839
0,0,840
0,0,841
0,0,842
0,0,843
0,0,844
0,0,845
0,0,846
1,0,847
2,0,848
0,0,849
0,0,850
0,0,851
0,0,852
0,0,853
6,0,854
5,0,855
5,0,856
0,0,857
4,0,858
0,0,859
6,0,860
0,0,861
0,0,862
0,0,863
1,0,864
5,0,865
