cluster,subcluster,cell
4,0,0
1,0,1
3,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
3,0,12
3,0,13
1,0,14
1,0,15
4,0,16
3,0,17
1,0,18
1,0,19
3,0,20
3,0,21
1,0,22
1,0,23
1,0,24
1,0,25
4,0,26
1,0,27
1,0,28
1,0,29
1,0,30
1,0,31
1,0,32
1,0,33
4,0,34
4,0,35
1,0,36
1,0,37
3,0,38
1,0,39
1,0,40
4,0,41
4,0,42
1,0,43
1,0,44
4,0,45
4,0,46
1,0,47
1,0,48
1,0,49
1,0,50
4,0,51
4,0,52
3,0,53
4,0,54
1,0,55
4,0,56
1,0,57
3,0,58
4,0,59
4,0,60
1,0,61
1,0,62
3,0,63
4,0,64
1,0,65
1,0,66
1,0,67
3,0,68
1,0,69
1,0,70
1,0,71
4,0,72
3,0,73
1,0,74
1,0,75
3,0,76
1,0,77
1,0,78
1,0,79
3,0,80
3,0,81
1,0,82
1,0,83
4,0,84
1,0,85
4,0,86
1,0,87
1,0,88
1,0,89
1,0,90
4,0,91
3,0,92
4,0,93
1,0,94
0,0,95
1,0,96
4,0,97
3,0,98
3,0,99
1,0,100
1,0,101
1,0,102
1,0,103
1,0,104
1,0,105
1,0,106
1,0,107
1,0,108
1,0,109
4,0,110
3,0,111
1,0,112
3,0,113
1,0,114
1,0,115
1,0,116
3,0,117
1,0,118
3,0,119
4,0,120
1,0,121
1,0,122
1,0,123
1,0,124
3,0,125
4,0,126
1,0,127
1,0,128
1,0,129
1,0,130
1,0,131
1,0,132
4,0,133
3,0,134
4,0,135
1,0,136
3,0,137
1,0,138
4,0,139
4,0,140
1,0,141
1,0,142
4,0,143
4,0,144
1,0,145
1,0,146
1,0,147
3,0,148
1,0,149
1,0,150
4,0,151
1,0,152
4,0,153
4,0,154
4,0,155
4,0,156
0,0,157
4,0,158
1,0,159
1,0,160
3,0,161
3,0,162
1,0,163
1,0,164
4,0,165
1,0,166
4,0,167
4,0,168
1,0,169
1,0,170
1,0,171
4,0,172
1,0,173
1,0,174
1,0,175
4,0,176
1,0,177
4,0,178
4,0,179
1,0,180
1,0,181
1,0,182
1,0,183
1,0,184
1,0,185
1,0,186
4,0,187
1,0,188
4,0,189
3,0,190
4,0,191
1,0,192
4,0,193
3,0,194
1,0,195
1,0,196
1,0,197
1,0,198
3,0,199
3,0,200
1,0,201
3,0,202
1,0,203
3,0,204
1,0,205
3,0,206
3,0,207
3,0,208
1,0,209
4,0,210
1,0,211
3,0,212
3,0,213
1,0,214
4,0,215
1,0,216
1,0,217
1,0,218
1,0,219
1,0,220
4,0,221
1,0,222
4,0,223
4,0,224
1,0,225
3,0,226
1,0,227
1,0,228
4,0,229
1,0,230
4,0,231
1,0,232
1,0,233
4,0,234
1,0,235
3,0,236
4,0,237
1,0,238
4,0,239
1,0,240
1,0,241
1,0,242
3,0,243
3,0,244
1,0,245
1,0,246
4,0,247
3,0,248
1,0,249
3,0,250
1,0,251
4,0,252
3,0,253
1,0,254
1,0,255
1,0,256
1,0,257
4,0,258
1,0,259
1,0,260
3,0,261
1,0,262
1,0,263
4,0,264
1,0,265
4,0,266
1,0,267
1,0,268
1,0,269
1,0,270
3,0,271
1,0,272
1,0,273
4,0,274
3,0,275
0,0,276
4,0,277
4,0,278
1,0,279
1,0,280
4,0,281
1,0,282
3,0,283
1,0,284
1,0,285
4,0,286
1,0,287
4,0,288
1,0,289
1,0,290
1,0,291
1,0,292
1,0,293
1,0,294
1,0,295
1,0,296
1,0,297
1,0,298
1,0,299
4,0,300
3,0,301
3,0,302
1,0,303
1,0,304
1,0,305
1,0,306
3,0,307
3,0,308
1,0,309
1,0,310
1,0,311
1,0,312
1,0,313
3,0,314
3,0,315
1,0,316
1,0,317
1,0,318
4,0,319
1,0,320
4,0,321
1,0,322
1,0,323
1,0,324
4,0,325
1,0,326
4,0,327
4,0,328
1,0,329
4,0,330
1,0,331
4,0,332
1,0,333
1,0,334
1,0,335
3,0,336
1,0,337
1,0,338
1,0,339
1,0,340
1,0,341
1,0,342
1,0,343
4,0,344
1,0,345
3,0,346
1,0,347
1,0,348
1,0,349
1,0,350
1,0,351
1,0,352
4,0,353
1,0,354
1,0,355
1,0,356
4,0,357
1,0,358
1,0,359
1,0,360
1,0,361
4,0,362
1,0,363
1,0,364
4,0,365
4,0,366
1,0,367
1,0,368
1,0,369
1,0,370
3,0,371
1,0,372
3,0,373
1,0,374
1,0,375
1,0,376
1,0,377
1,0,378
4,0,379
1,0,380
1,0,381
1,0,382
4,0,383
1,0,384
1,0,385
3,0,386
1,0,387
1,0,388
1,0,389
1,0,390
1,0,391
1,0,392
4,0,393
4,0,394
1,0,395
3,0,396
1,0,397
1,0,398
1,0,399
4,0,400
1,0,401
4,0,402
1,0,403
1,0,404
3,0,405
1,0,406
1,0,407
1,0,408
1,0,409
1,0,410
3,0,411
3,0,412
1,0,413
1,0,414
1,0,415
3,0,416
1,0,417
1,0,418
4,0,419
3,0,420
4,0,421
1,0,422
1,0,423
3,0,424
4,0,425
1,0,426
1,0,427
3,0,428
1,0,429
4,0,430
1,0,431
1,0,432
3,0,433
1,0,434
3,0,435
1,0,436
1,0,437
4,0,438
1,0,439
3,0,440
1,0,441
1,0,442
1,0,443
1,0,444
1,0,445
1,0,446
1,0,447
4,0,448
1,0,449
1,0,450
1,0,451
4,0,452
1,0,453
3,0,454
1,0,455
1,0,456
1,0,457
1,0,458
4,0,459
3,0,460
4,0,461
1,0,462
1,0,463
1,0,464
1,0,465
1,0,466
4,0,467
3,0,468
1,0,469
1,0,470
1,0,471
3,0,472
1,0,473
4,0,474
1,0,475
1,0,476
1,0,477
4,0,478
4,0,479
1,0,480
1,0,481
4,0,482
4,0,483
1,0,484
4,0,485
3,0,486
1,0,487
1,0,488
1,0,489
1,0,490
1,0,491
1,0,492
1,0,493
3,0,494
1,0,495
3,0,496
1,0,497
1,0,498
4,0,499
4,0,500
4,0,501
3,0,502
3,0,503
4,0,504
4,0,505
1,0,506
1,0,507
1,0,508
1,0,509
1,0,510
4,0,511
1,0,512
1,0,513
1,0,514
4,0,515
1,0,516
4,0,517
1,0,518
3,0,519
1,0,520
1,0,521
1,0,522
1,0,523
4,0,524
1,0,525
1,0,526
1,0,527
1,0,528
1,0,529
1,0,530
1,0,531
4,0,532
1,0,533
1,0,534
4,0,535
1,0,536
4,0,537
1,0,538
1,0,539
1,0,540
1,0,541
3,0,542
1,0,543
1,0,544
4,0,545
1,0,546
3,0,547
1,0,548
1,0,549
1,0,550
4,0,551
1,0,552
1,0,553
1,0,554
3,0,555
1,0,556
3,0,557
1,0,558
4,0,559
1,0,560
4,0,561
1,0,562
3,0,563
1,0,564
1,0,565
1,0,566
3,0,567
1,0,568
1,0,569
1,0,570
1,0,571
1,0,572
1,0,573
1,0,574
1,0,575
1,0,576
1,0,577
3,0,578
1,0,579
1,0,580
1,0,581
1,0,582
1,0,583
1,0,584
3,0,585
1,0,586
1,0,587
4,0,588
1,0,589
4,0,590
1,0,591
1,0,592
4,0,593
1,0,594
1,0,595
1,0,596
1,0,597
1,0,598
3,0,599
4,0,600
1,0,601
1,0,602
1,0,603
4,0,604
1,0,605
1,0,606
3,0,607
1,0,608
1,0,609
